"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"					
П000102351905			Е		3					
П000102352004			Е		3					
П000102352005			Е		3					
П000102352104			Е		3					
П000102352105			Е		3					
П000102352204			Е		3					
П000102352205			Е		3					
П000102352304			Е		3					
П000102352305			Е		3					
П000102352404			Е		3					
П000102352405			Е		3					
П000102352504			Е		3					
П000102352505			Е		3					
П000102352604			Е		3					
П000102352605			Е		3					
П000102352704			Е		3					
П000102352705			Е		3					
П000102352804			Е		3					
П000102352805			Е		3					
П000102352904			Е		3					
П000102352905			Е		3					
П000102353004			Е		3					
П000102353005			Е		3					
П000102353104			Е		3					
П000102353105			Е		3					
П000102353204			Е		3					
П000102353205			Е		3					
										
П000100240004			Е		4					
П000100240005			Е		4					
										
П000100241004			Е		3					
П000100241005			Е		3					
										
П000100242104			Е		3					
П000100242105			Е		3					
										
П000100243004			Е		3					
П000100243005			Е		3					
										
П000100245004			Е		3					
П000100245005			Е		3					
										
П000100246004			Е		3					
П000100246005			Е		3					
П000102460104			Е		3					
П000102460105			Е		3					
П000102460204			Е		3					
П000102460205			Е		3					
										
П000100250004			Е		4					
П000100250005			Е		4					
										
П000100251004			Е		3					
П000100251005			Е		3					
П000102510104			Е		3					
П000102510105			Е		3					
П000102510204			Е		3					
П000102510205			Е		3					
П000100252004			Е		0					
П000100252005			Е		0					
П000100290004			Е		0					
П000100290005			Е		0					
П000100291004			Е		0					
П000100291005			Е		0					

П100102100102		/	С	1	0					
П100102100103		/	С	1	0					
П100102100104		/	Е	1	0					
П100102100105		/	Е	1	0					
										
П100102100202		/	С	1	0					
П100102100203		/	С	1	0					
П100102100204		/	Е	1	0					
П100102100205		/	Е	1	0					
										
П100102110102		/	С	1	0					
П100102110103		/	С	1	0					
П100102110104		/	Е	1	0					
П100102110105		/	Е	1	0					
П100102110202		/	С	1	0					
П100102110203		/	С	1	0					
П100102110204		/	Е	1	0					
П100102110205		/	Е	1	0					
П100102120102		/	С	1	0					
П100102120103		/	С	1	0					
П100102120104		/	Е	1	0					
П100102120105		/	Е	1	0					
П100102120202		/	С	1	0					
П100102120203		/	С	1	0					
П100102120204		/	Е	1	0					
П100102120205		/	Е	1	0					
П100102200102		/	С	1	0					
П100102200103		/	С	1	0					
П100102200104		/	Е	1	0					
П100102200105		/	Е	1	0					
П100102200202		/	С	1	0					
П100102200203		/	С	1	0					
П100102200204		/	Е	1	0					
П100102200205		/	Е	1	0					
П100102210102		/	С	1	0					
П100102210103		/	С	1	0					
П100102210104		/	Е	1	0					
П100102210105		/	Е	1	0					
П100102210202		/	С	1	0					
П100102210203		/	С	1	0					
П100102210204		/	Е	1	0					
П100102210205		/	Е	1	0					
П100102220102		/	С	1	0					
П100102220103		/	С	1	0					
П100102220104		/	Е	1	0					
П100102220105		/	Е	1	0					
П100102220202		/	С	1	0					
П100102220203		/	С	1	0					
П100102220204		/	Е	1	0					
П100102220205		/	Е	1	0					
П100100234002		/	С	1	0					
П100100234003		/	С	1	0					
