"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"
П000101130205			Е		3
П000101130206			Е		3
П000101130304			Е		3
П000101130305			Е		3
П000101130306			Е		3
П000101130404			Е		3
П000101130405			Е		3
П000101130406			Е		3
П000101130504			Е		3
П000101130505			Е		3
П000101130506			Е		3
П000101130604			Е		3
П000101130605			Е		3
П000101130606			Е		3
П000101130704			Е		3
П000101130705			Е		3
П000101130706			Е		3
П000101130804			Е		3
П000101130805			Е		3
П000101130806			Е		3
П000101139902		/	С	1	0
П000101139903		/	С	1	0
П000101139904		/	Е	1	0
П000101139905		/	Е	1	0
П000101139906		/	Е	1	0
					
П000100114004			Е		3
П000100114005			Е		3
П000100114006			Е		3
П000101140104			Е		3
П000101140105			Е		3
П000101140106			Е		3
П000101140204			Е		3
П000101140205			Е		3
П000101140206			Е		3
П000101140304			Е		3
П000101140305			Е		3
П000101140306			Е		3
П000101140404			Е		3
П000101140405			Е		3
П000101140406			Е		3
П000101149902		/	С	1	0
П000101149903		/	С	1	0
П000101149904		/	Е	1	0
П000101149905		/	Е	1	0
П000101149906		/	Е	1	0
					
П000100115004			Е		3
П000100115005			Е		3
П000100115006			Е		3
П000101150104			Е		3
П000101150105			Е		3
П000101150106			Е		3
П000101159902		/	С	1	0
П000101159903		/	С	1	0
П000101159904		/	Е	1	0
П000101159905		/	Е	1	0
П000101159906		/	Е	1	0
					
П000100116004			Е		3
П000100116005			Е		3
П000100116006			Е		3
П000101169902		/	С	1	0
П000101169903		/	С	1	0
П000101169904		/	Е	1	0
П000101169905		/	Е	1	0
П000101169906		/	Е	1	0
					
П000100117004			Е		3
П000100117005			Е		3
П000100117006			Е		3
П000101170104			Е		3
П000101170105			Е		3
П000101170106			Е		3
П000101170204			Е		3
П000101170205			Е		3
П000101170206			Е		3
П000101170304			Е		3
П000101170305			Е		3
П000101170306			Е		3
П000101179902		/	С	1	0
П000101179903		/	С	1	0
П000101179904		/	Е	1	0
П000101179905		/	Е	1	0
П000101179906		/	Е	1	0
					
П000100120004			Е		4
П000100120005			Е		4
П000100120006			Е		4
П000100121004			Е		3
П000100121005			Е		3
П000100121006			Е		3
П000101210104			Е		3
П000101210105			Е		3
П000101210106			Е		3
П000101210204			Е		3
П000101210205			Е		3
П000101210206			Е		3
П000101210304			Е		3
П000101210305			Е		3
П000101210306			Е		3
П000101210404			Е		3
П000101210405			Е		3
П000101210406			Е		3
П000101210504			Е		3
П000101210505			Е		3
П000101210506			Е		3
П000101210604			Е		3
П000101210605			Е		3
П000101210606			Е		3
П000101210704			Е		3
П000101210705			Е		3
П000101210706			Е		3
П000101210804			Е		3
П000101210805			Е		3
П000101210806			Е		3
П000101210904			Е		3
П000101210905			Е		3
П000101210906			Е		3
П000101211004			Е		3
П000101211005			Е		3
П000101211006			Е		3
П000101211104			Е		3
П000101211105			Е		3
П000101211106			Е		3
П000101211204			Е		3
П000101211205			Е		3
П000101211206			Е		3
П000101219902		/	С	1	0
П000101219903		/	С	1	0
П000101219904		/	Е	1	0
П000101219905		/	Е	1	0
П000101219906		/	Е	1	0
					
П000100122004			Е		3
П000100122005			Е		3
П000100122006			Е		3
П000101220104			Е		3
